,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
19418,41004,2015.0,CA,9.0,5,6.0,1.0,0.09396015,2010.0,555.36328125,83.6470210740478
19419,41006,2015.0,CA,9.0,10,6.0,1.0,0.09397247,2010.0,555.41015625,83.6488725323547
19420,41007,2015.0,CA,9.0,8,6.0,1.0,0.09396258,2010.0,556.23828125,83.7115601761616
19421,41008,2015.0,CA,9.0,10,6.0,1.0,0.1522151,2010.0,899.26953125,106.439487053435
19422,41009,2015.0,CA,9.0,14,6.0,1.0,43.49679,2010.0,257723.46484375,2180.06432941073
19423,41011,2015.0,CA,9.0,14,6.0,1.0,5.392848,2010.0,31881.0390625,710.473407932027
19424,41012,2015.0,CA,9.0,14,6.0,1.0,0.0939775,2010.0,556.1015625,83.7020163920998
19425,41013,2015.0,CA,9.0,14,6.0,1.0,0.4853519,2010.0,2868.9453125,190.079835406596
19426,41014,2015.0,CA,9.0,1,6.0,1.0,0.4854267,2010.0,2875.578125,190.299633102579
19427,41016,2015.0,CA,9.0,14,6.0,1.0,0.02317176,2010.0,137.44140625,46.983296164132
19428,41017,2015.0,CA,9.0,14,6.0,1.0,0.6028686,2010.0,3570.23828125,255.103003106459
19429,41019,2015.0,CA,9.0,11,6.0,1.0,0.2516483,2010.0,1488.625,136.946147943169
19430,41020,2015.0,CA,9.0,14,6.0,1.0,0.2516389,2010.0,1486.91796875,136.867326536714
19434,41025,2015.0,CA,9.0,14,8.0,1.0,0.008776683,2010.0,51.953125,34.0949251001365
19437,41028,2016.0,CA,3.0,11,1.0,1.0,19.74437,2010.0,118762.89453125,1632.58490871212
19438,41029,2016.0,CA,2.0,7,1.0,1.0,330.9144,2010.0,2312314.48046875,10292.6749755558
19439,41030,2016.0,CA,2.0,10,1.0,1.0,94.76298,2010.0,666577.97265625,6009.65394007733
